NSta=1;NSta=2;NSta=3;NSta=4;NSta=5;NSta=6;NSta=7;NSta=8;NSta=9;NSta=10;NSta=11;NSta=12;NSta=13;NSta=14;NSta=15;NSta=16;NSta=17;NSta=18;NSta=19;NSta=20;NSta=21;NSta=22;NSta=23;NSta=24;NSta=25
7.21380000001659e-08;7.527599999690439e-08;7.9126000002816e-08;7.25519999988933e-08;7.242800000284434e-08;7.944400000070573e-08;2.139719999973977e-07;7.56900000027372e-08;7.424199999661597e-08;7.887999999667272e-08;2.945239999974092e-07;1.0766199999778794e-07;4.02422000000513e-07;4.869440000021541e-07;5.630879999998228e-07;7.501399999654269e-08;3.745699999981866e-07;7.891399999948589e-08;3.906279999981166e-07;1.1454799999910393e-07;9.124999999698959e-08;4.184599999987881e-07;1.0749999999859485e-07;6.00587200000291e-06;6.735192000000723e-06
7.50660000008452e-08;7.813199999873178e-08;7.590999999962378e-08;1.7727600000227998e-07;2.640800000008881e-07;1.420239999987416e-07;7.847399999860727e-08;7.511999999820773e-08;7.862399999680748e-08;7.218399999686654e-08;1.0873800000155142e-07;8.081600000053867e-08;1.725039999982414e-07;4.309540000022594e-07;1.452699999973106e-07;2.588979999984531e-07;7.372000000316348e-08;7.766600000280732e-08;1.1130800000103137e-07;8.713100000008467e-07;1.679508000002272e-06;4.507273999998063e-06;3.1234859999997864e-06;6.009623199999936e-05;1.02356259999965e-05
7.714400000224942e-08;7.429400000091848e-08;7.469399999848747e-08;8.058800000299015e-08;7.672000000269465e-08;8.060399999720857e-08;7.20379999989973e-08;7.556199999925184e-08;7.733199999648831e-08;7.247599999971044e-08;1.486199999973792e-07;3.8876400000020805e-07;8.058600000282467e-08;1.0006400000150961e-07;8.921399999906045e-08;7.335800000163317e-08;7.650799999936454e-08;4.1141799999877547e-07;7.48140000013109e-08;1.6158857999997168e-05;5.007083999998941e-06;2.28004400000259e-06;1.8326800000068032e-07;2.615867999999466e-06;7.096676000003299e-06
7.707799999678855e-08;7.415599999660572e-08;7.748400000195943e-08;1.0730599999675407e-07;7.937200000185385e-08;7.717199999746071e-08;2.695399999979032e-07;7.400399999824003e-08;8.07019999982117e-08;1.3977399999731688e-07;1.588519999984328e-07;2.2293600000011798e-07;7.266800000138573e-08;8.008599999698163e-08;7.240800000118952e-08;3.350420000032273e-07;8.051999999736383e-08;3.121579999998403e-07;6.428940000020589e-07;3.41250599999654e-06;8.101800000304138e-08;1.1011400000171535e-07;6.948067999999807e-06;7.226848000001951e-06;2.564388000003248e-06
8.000599999746784e-08;7.701199999843312e-08;7.527999999723533e-08;8.002399999895716e-08;7.601800000145433e-08;7.67519999982369e-08;7.704800000141178e-08;7.944000000037476e-08;4.850779999969746e-07;3.160779999973329e-07;7.407199999676096e-08;4.2009599999914826e-07;3.78802000000178e-07;4.661079999976892e-07;4.5211399999800507e-07;1.170537999996668e-06;7.53260000010414e-08;9.389200000242681e-08;4.581379999990531e-07;2.5930239999993887e-06;2.2812000000271843e-07;6.496319999996558e-06;1.353633999997328e-06;1.1036800000141513e-07;1.305731200000082e-05
7.30840000002786e-08;7.31740000006198e-08;7.406400000320445e-08;7.634800000033692e-08;8.067000000266944e-08;7.363440000034416e-07;1.3961799999862026e-07;7.486999999883892e-08;7.779199999902177e-08;7.636400000166077e-08;7.694199999974671e-08;7.703200000008793e-08;4.388400000010506e-07;4.182180000000813e-07;1.4630799999792997e-07;7.719799999961198e-08;7.823199999990039e-08;7.462599999996655e-08;1.0647599999913382e-07;8.067800000333137e-08;3.4596320000019887e-06;2.931539999977417e-07;1.7103038000001903e-05;6.12705240000011e-05;2.3838759999961214e-06
7.601200000095788e-08;7.60300000024472e-08;7.98479999986057e-08;7.905999999735513e-08;7.432200000323518e-08;7.591199999978927e-08;7.911400000182312e-08;1.293179999990457e-07;7.415599999660572e-08;7.76680000029728e-08;1.811799999984487e-07;2.68192000000056e-07;2.0011600000202638e-07;2.532399999992663e-07;1.0365139999990449e-06;7.325800000046456e-08;3.793939999994223e-07;9.216300000005618e-07;3.365560000005985e-07;2.6501680000023954e-06;2.552543999996715e-06;4.282273999997699e-06;5.898140000013541e-07;1.8559600000145337e-07;0.000100885344
7.50960000033274e-08;7.219199999752845e-08;3.0364999999932253e-07;7.538399999873491e-08;1.8096800000222405e-07;1.0449199999840177e-07;7.567200000124787e-08;9.275400000063883e-08;7.486399999834249e-08;7.795999999871128e-08;5.620559999996999e-07;7.315199999879952e-08;1.521033999999588e-06;7.744399999864983e-08;4.41195999997035e-07;7.415600000015842e-07;9.626619999991702e-07;1.507388000000276e-06;3.4330199999743626e-07;2.5449219999984505e-06;7.193086000000904e-06;1.549320000009402e-07;1.0820199999983516e-07;9.246939999982828e-07;5.953719800000101e-05
7.802399999690123e-08;7.504799999935587e-08;7.543400000287193e-08;7.51019999967184e-08;4.536200000018198e-07;2.930719999980625e-07;7.217999999653557e-08;7.31840000014472e-08;7.62399999985064e-08;7.526400000301691e-08;7.226999999687679e-08;1.66112000002272e-07;7.504199999885942e-08;7.835400000288928e-08;7.63899999967066e-08;8.797624000003169e-06;7.754399999981844e-08;4.551740000025006e-07;1.6092279999995186e-06;1.1304000000222915e-07;2.929400000013516e-07;6.3246999999933e-07;1.6646975999996984e-05;6.368948000002205e-06;1.0683861999993382e-05
8.010199999830548e-08;8.0210000000136e-08;7.421800000173562e-08;7.44199999971329e-08;7.725999999763645e-08;7.86519999991242e-08;7.47440000026245e-08;7.862599999697296e-08;7.69540000007396e-08;8.055600000034246e-08;7.915199999786183e-08;4.8826599999785e-07;1.962799999972731e-07;5.624819999994201e-07;2.2858399999847733e-07;7.869200000243383e-08;2.5379400000247186e-07;1.0290200000184769e-07;2.5510999999767136e-07;9.165600000216045e-08;5.995482000002994e-06;3.2837434000001055e-05;4.626244000000668e-06;1.0587199999889664e-07;2.3444499999996536e-05
